figure_name,path,stage,purpose,evidence_type,claim_boundary,hash
baseline_model_performance.png,reports\figures\baseline_model_performance.png,Stage 1,baseline model performance,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",a44cd908eca2a6671ea84330a4ee7136c29354eee6dc131da9c1cd475193207b
cost_attribution_example.png,reports\figures\cost_attribution_example.png,Stage 1,cost attribution example,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",d69ec12d0334bb071d336388fea0efcbb13cf36d49dc2ed3a2027678a8bbd628
cost_attribution_waterfall.png,reports\figures\cost_attribution_waterfall.png,Stage 3,cost attribution waterfall,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",0185c87a2a52f8ca2f6e2384a788d83610718847e62916034a4939be91818bf1
cost_by_liquidity_regime.png,reports\figures\cost_by_liquidity_regime.png,Stage 2,cost by liquidity regime,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",056bc55ad1105859a989356a3035978bb8dd5286402f44b0b4c07282bf882e77
depth_imbalance_distribution.png,reports\figures\depth_imbalance_distribution.png,Stage 2,depth imbalance distribution,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",9240f725cdd13738fdff2d2f355d216f5de9d9d0a437582aea944662be08b2db
event_intensity_profile.png,reports\figures\event_intensity_profile.png,Stage 1,event intensity profile,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",3102da1fc4c8048f12ccf78c2e4cc3b88a383404b62f26775a7f04baa378228f
execution_cost_by_order_size.png,reports\figures\execution_cost_by_order_size.png,Stage 3,execution cost by order size,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",0e9baf8cb796c9856d418c94ad4d45972aaea59612ac6c330105f049b77e7f00
execution_sensitivity_heatmap.png,reports\figures\execution_sensitivity_heatmap.png,Stage 3,execution sensitivity heatmap,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",61065dab595f407da39ddbf442b8d79323196bb8c637ecd07a6920b993204ce4
final_claim_enforcement_summary.png,reports\figures\final_claim_enforcement_summary.png,Stage 4,final claim enforcement summary,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",ded915ac85e6d9c7c06253c2690a5209ede09df52f11c3b7ba914606ddf861c0
final_evidence_boundary_map.png,reports\figures\final_evidence_boundary_map.png,Stage 4,final evidence boundary map,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",0b24ec6cfa64737ccfece394f91c92e77b0a20224f7e2f22c072a88df32aa017
final_stage_quality_summary.png,reports\figures\final_stage_quality_summary.png,Stage 4,final stage quality summary,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",66165b0bd7834ccb44136f2284ae03d80c79db113b918dac5db1cec0145fbf98
final_system_architecture.png,reports\figures\final_system_architecture.png,Stage 4,final system architecture,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",52118db78f8c06bbae3c61a936d2c06f194658f7de668b82bb7f2db5ca21d422
implementation_shortfall_components.png,reports\figures\implementation_shortfall_components.png,Stage 3,implementation shortfall components,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",9e451f2bb04ed8083b0f6c6f36877e9db42f3c53b278e8a81385637fd4501783
limit_fill_approximation_status.png,reports\figures\limit_fill_approximation_status.png,Stage 1,limit fill approximation status,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",2e217ad090610a54bf343afa4dfe7fd6ff53c34d625f6e902066ebadf5f070fd
liquidity_regime_counts.png,reports\figures\liquidity_regime_counts.png,Stage 2,liquidity regime counts,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",6e06b743535bf55c59a5939ac6e5afb23cc919e4c4ee88c19864e3c726b33f93
market_order_sweep_example.png,reports\figures\market_order_sweep_example.png,Stage 1,market order sweep example,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",3fd5bc103987113e5e7a927d194e1e7336d3d20189138683c754e934cf8d4117
microprice_vs_midprice.png,reports\figures\microprice_vs_midprice.png,Stage 2,microprice vs midprice,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",6ffbf55176743abe71e729930cb0b8bd04df7886810e4b552c9543ac8458d9f2
order_book_spread_through_time.png,reports\figures\order_book_spread_through_time.png,Stage 2,order book spread through time,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",684b35fb2e8d247c537a45b2afe82a76bb28fe1af38c99ecf8066a1cf97f5869
short_horizon_label_distribution.png,reports\figures\short_horizon_label_distribution.png,Stage 2,short horizon label distribution,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",c56b40f5e9b5e376181a1bc490c6c3693f80aff0bee98a28c905258e2edff670
slippage_by_benchmark.png,reports\figures\slippage_by_benchmark.png,Stage 3,slippage by benchmark,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",a4a985a762e08fe0244456d979a98fd370cc8b9db51a43167c6d8c3a90180ae1
sweep_levels_consumed.png,reports\figures\sweep_levels_consumed.png,Stage 1,sweep levels consumed,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",e7069b8674e249fe224027d71b51ce695d93338a891567f386889628b94b2b90
tiny_lob_depth_example.png,reports\figures\tiny_lob_depth_example.png,Stage 1,tiny lob depth example,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",b849aa0bd1bec73209562d268e7c6ee43d9538f3e9d5c8568d8a92d0f25242e5
tiny_lob_spread_example.png,reports\figures\tiny_lob_spread_example.png,Stage 1,tiny lob spread example,controlled diagnostic visual evidence,"No trading, profitability, best-execution, live-trading or broker-grade TCA claim.",0256905880056b844d03c053a525b31c28fd9bd48b5befc05c4e24929af00cc7
